Name_of_Place,Segmentation,atmosphere_num,atmosphere_type,description ,location,review,no_of_people,approximate_cost,Opening_and_closing_Time,Suggested_Duration,,,
National Art Gallery ,Museum,2,Indoor&Outdoor,"One of the oldest of art galleries in India, the National Art Gallery is a striking melange of spectacular architecture and a very interesting array of collections on display. The attractions lures visitors at a first glance itself, owing to the red stones used in this Indo-Sarsenic architecture marvel. These were sourced from another Indian state Andhra Pradesh. Inside the museum, you have paintings from regions of India that are renowned for their rich art; like Rajasthan, Deccan area, Thanjavur and Kangra. Its sandalwood sculptures are another prominent draw of this Chennai attraction.",egmore,4.4,20,15,09:30 am - 05 : 00 pm,1:30 hr ,,,
fort museum ,Museum,2,Indoor,"Also referred to as White Town historically, the Fort Museum is a Chennai attraction built in the year 1644. Owing to this fort’s construction, there was a steady rise in trading activities further settlements, given the being of this once-inhabited land. Today the property is home to not just the Tamil Nadu legislative assembly but also other official buildings.","Fort St George, Chennai, ",4.2,20,100,10: 00 am - 05 : 00 pm,2 hr ,,,
VGP golden beach ,Beaches,1,Outdoor,"The VGP Universal Kingdom is an amusement Park&Garden, full of fun rides. This Chennai attraction is well accommodated with all kinds of rides, making it an ideal for one and all. Having a conference room, this place is a preferred destination for corporate conferences too. The property sprawls across a humungous expanse and owing to a good maintenance, this place looks no less than a movie set. The place is perfect for a good day out, family get together, college or school picnics. The live shows, snow kingdom, petting zoo and restaurant promise ultimate entertainment.","East Coast Road, Injambakkam",4,20,895,11:00 am - 07:30 pm ,2hr ,,,
B M Birla Planatarium,observatories &planetariums,2,Indoor,Spend an evening stargazing at Chennai’s Birla’s Planetarium and watch the cosmos in comfort. Discover the solar system and its wonders by going on a virtual tour of the sky at night and marvel at cosmic beauty beyond our line of sight. ,"mandapam road , chennai ",3.7,30,40,10:00 am - 05:45 pm ,1 hr ,,,
St Mary's Church,churches&cathedrals,2,Indoor,"Perched on the same ground as the Fort Museum, the St Mary's Church is not only the oldest Anglican church but also the oldest British building in India. With a striking architecture, the church remains to be a debate of who the architect was. Whether it was Edward Foule or William Dixon, both who were gunners of the fort. The church’s’ construction is believed to have taken place in the 16th century, most probably in the years of 1678-1680 AD. The British East India Company played a leading role in the inception of this church. One of the most beautiful churches in Chennai, this church is certain to make you feel mesmerized and calm!","Rajaji Salai, Fort St George, Chennai",4.4,20,0,10:00 am -06 :00 pm,1 hr ,,,
Siruvapuri Sri Balamurugan Temple,Religious sites,2,Indoor,"History of the temple has that Lava and Kusa, the sons of Rama lived in this place. Once when Rama was passing this place, they have fought a war with Rama himself without knowing that he was their father. As the young children waged a war here, the place was called as Siruvar Por Puri.","Thatchoor Koot Road, Siruvapuri, Tiruvallur",4.5,20,0,"7am–2:15pm, 4pm–8pm,",1:30 hr,,,
Thiruvanmiyur Beach ,Beaches,1,Outdoor,"Set in the neighbourhood of Valmiki Nagar, the breezy Beach is a great alternative, if you want to skip the highly touristy Marina beach. In fact, it is more picturesque and clean, given the fact it is less crowded. The beach is frequented to by those staying nearby for morning and evening walks, but absolutely anytime of the day is a good time to visit the Breezy Beach. If there is any drawback to this beach, is the fact that you have to walk a little more from public transport stations and stops, than you would usually need form other attractions. ","Water Land Drive Rd, Lakshmana Perumal Nagar, Valmiki Nagar, Chennai,",4.5,30,0,full day ,1:30 hr,,,
semmozhi poonga ,Park&Garden,1,Outdoor,"Chennai has a lot of avenue sprawling evenly across its limits, to bequeath you with that much-needed relief from the heat and humidity, that persists the city. The Semmozhi Poonga is a gorgeous botanical garden with a name literally translating to “Classical Language Park&Garden”. It is run and manged by the horticulture department of the Government of Tamil Nadu. What you must look forward to on your visit here is the large number of exotic flora and rare plant species, medicinal and aromatic herbs.","Cathedral Road, Teynampet, Chennai",4.2,30,15,10 : 00 am - 07:30 pm,2 hr ,,,
Sathyam theatres,theatres,2,Indoor,"The Maker of Memories, Sathyam is Southern India's Iconic Home of Cinema, welcoming everyone to enjoy the ultimate cinematic experience. Sathyam has been a household name in Chennai since 1974 and is the city's favourite destination for people from all walks of life, across a wide age group and user profile. Sathyam strives to be at the forefront of media technology and endeavours to bring new entertainment technology to customers first. Technology: The theatres are equipped with state-of-the-art entertainment technology; including 4K digital projectors with 3D technology, 2.4 gain Silver Screens and digital audio delivering stunning cinematic experience. It is the first in the country to have a screen equipped with Dolby Atmos and also the first in Asia to have a screen equipped with Auro 3D. Facilities: Spread over six levels, Sathyam offers you a variety of entertainment. Apart from the state of the art technology, the facilities available at Sathyam are: Blur: India's largest gaming experience, spanning three floors at Sathyam is a must for gamers of all levels. ",,4.5,20,190,8:30 AM - 10:30 PM,3hrs,,,
Nexus Vijaya Mall,Shopping Mall,2,Indoor,"Chennai's ultimate gateway to Fashion | Lifestyle | Entertainment, reimagined for you. Fill your heart's every desire at The Forum Vijaya, today!","183, Great Southern Trunk Rd, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026",4,20,0,10AM to 10PM,2-3hrs,,,
Sri Ramakrishna Math,Points of Interest & Landmarks,2,Indoor&Outdoor,Architectural Building,"Sri Ramakrishna Math Chennai, 31, Ramakrishna Mutt Rd, Alamelu Manga Puram, Sankarapuram, Mylapore, Chennai, Tamil Nadu 600028",4.5,20,0,6.30 to 11.30 a.m. Evening: Apr to Sep : 4.00 to 9.00 p.m. || Oct to Mar : 3.30 to 8.30 p.m.,<1hr,,,
Children's Park&Garden,Park&Garden,1,Outdoor,Beautiful Park&Garden for children,"Sardar Patel Road Guindy, Chennai (Madras) 600032 India",3.5,20,20,9:00 am – 6:00 pm,2hrs,,,
Inox Theatre,theatres,2,Indoor,"inox mission - to be the leader in the cinema exhibition industry, in every aspect, right from the quality and choice of cinema to the varied services offered and eventually the highest market share.","INOX Leisure Ltd.3rd Floor, Chennai Citi Centre,10-11, Dr.Radhakrishnan Salai,Mylapore, Chennai – 600004",3.5,20,200,10am - 12:am,3hrs,,,
Mayajaal Entertainment,theatres,2,Indoor,"Mayajaal has a gaming center and a couple of food ventures, a sixteen screen multiplex, a sports complex and a resort and many more. One of the best place to visit with childrens if they love games. Park&Gardening charges is comparatively very low then other malls. Suggest edits to improve what we show.","34 East Coast Road, Chennai (Madras) 603112 India",3,20,300,9:00 AM to 12:00 AM,3hrs,,,
Burma Bazaar,Flea & Street Markets,2,Indoor&Outdoor,"An interest in foreign-made goodies started the formerly popular market Burma Bazaar, a treasure house for DVDs, perfumes and tech products. Though the market is lackluster now, it still makes for a good walk to see if you might find something interesting from across the borders.","Parrys Corner, Chennai Port Mannady, Chennai (Madras) 600001 India",3.5,30,300,10am-10pm,<1hr,,,
Faunus Park&Garden,Park&Garden,1,Outdoor,"enchantment at our captivating aviary. Immerse yourself in the mesmerizing birds . You can interact with many birds fluttering around, creating a symphony of vibrant hues. 

As you venture further, encounter the graceful presence of ducks and the striking beauty of Pheasants, adding to the diverse array of avian marvels. 

Delight the majestic Ostriches basking in the great Outdoors, exuding an aura of untamed grandeur. 

Come visit us to look at our NEW additions. Kids & Adults will be able to enjoy the time and create memories","Faunus Park&Garden, 4th avenue seashore town, panaiyur
chennai
IN",5,25,0,09:30am - 06:30pm,2-3hrs,,,
Victory War Memorial,Points of Interest & Landmarks,1,Outdoor,Monuments & Statues,"Port Trust Officers Quarters, Sathya Nagar, Chennai Port Trust, Chennai, Tamil Nadu 600009",4,10,0,12:00am-11:59pm,<1hr,,,
Tholkappia Poonga,Park&Garden,1,Outdoor,Tholkappia Poonga or Adyar Eco Park&Garden is an ecological Park&Garden set up by the Government of Tamil Nadu in the Adyar estuary area of Chenna,"Karpagam Avenue, Mandavelipakkam, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",4.5,20,20,6:30 am–6 pm,2-3hrs,,,
The Faraway Tree Gallery,Art galleries,2,Indoor,"At The Faraway Tree, we strive to find exceptional artists: established as well as upcoming, providing you access to some of the best quality Modern & Contemporary Indian art being produced today. The works range from an array of mediums: Paintings, Watercolours, Drawings etc. You will also find Sculptures and Limited Edition prints such as Lithographs and Etchings of well established Indian artists.We help clients in building collections, maintaining & restoring artworks that need care as well as in liquidating their collection. If you plan to visit us, making an appointment is always better.","7, Rutland Gate 6th St, Srirampuram, Thousand Lights West, Nungambakkam, Chennai, Poombukar Nagar, Tamil Nadu 600006",5,10,0,10:30 AM - 7:00 PM,2hrs,,,
Palavakkam Beach,Beaches,1,Outdoor,"Located at the southern tip of Chennai in Palavakkam, Palavakkam Beach is a wonderful beach boasting of mesmerising sunrise and sunset views. The highlight of the beach is an age-old temple situated on the beach. The beach has vast expanse of shores, with stunning views of the horizon merging in the sea.","Palavakkam, Chennai, Tamil Nadu 600041",4,20,0,24hrs,1-2hrs,,,
Subramanya Bharathi Museum,Museum,2,Indoor,"Subramanya Bharathi Museum constitutes the house of a pioneering poets of the region, Subramanya Bharathi. Subramanya Bharathi was born in the year1882 in the present Tamil Nadu state.","Telisinga 600014, 11, Thulasinga Perumal Koil St, Narayana Krishnaraja Puram, Triplicane, Chennai, Tamil Nadu 600005",4.5,20,30,9:45-5:45,1hr,,,
Spectrum Mall,Shopping Mall,2,Indoor,The place is at a prominent location. The view of the mall is great. The mall has a nice stores and cienema experiance.must visit,"SPECTRUM THE GRAND VENUS MALL, 114, A, 114 B , 3rd floor, Paper Mills Road, Gopal Colony, Perambur, Chennai, Tamil Nadu 600011",4,20,0,10am-10:30pm,2hrs,,,
Live Art Museum,Museum,2,Indoor,World's 1st Silicone Museum.Ever seen a statue of Monalisa? Ever wondered how it would be to take a photo with a statue of Monalisa? Not just Monalisa has many more . Come explore with us.,"1/130 E Coast Rd Anna Enclave, Chennai (Madras) 600115 India",4.5,20,150,10am-8pm,>1hr,,,
Pallikaranai Marsh Reserve Forest,Points of Interest & Landmarks,1,Outdoor,"Pallikaranai Marsh is a freshwater marsh in the city of Chennai, India. It is situated adjacent to the Bay of Bengal, about 20 kilometres south of the city centre, and has a geographical area of 80 square kilometres","Pallikaranai, Chennai, India",3.5,10,0,10am-10pm,<1hr,,,
Vivira Mall,Shopping Mall,2,Indoor,"Find everything your home and your family need in Vivira Mall, which has an array of world-famous national and international stores stretching from one corner of the mall to the other! Make it your go-to, one-stop destination for the best in fashion, food, home, lifestyle, cinema, beauty and wellness in Chennai!","33, Old Mahabalipuram Road, Navalur, Tamil Nadu 600130",4,30,0,10:00 AM - 9:30 PM,1-2hrs,,,
Kart Attack,Points of Interest & Landmarks,1,Outdoor,"This 260 meters long go-karting track is located on the ECR in Chennai. Although the track is short, it makes up for being short by having a smooth tarmac with some wild hairpin bends along the track. The karts used here are powered by 200 cc Honda engines and they have twin and kids kart too. Kart Attack is the oldest track in Chennai and has daily competition for the fastest lap among all participants. For a 5 minute experience on the track, you will have to shell out Rs. 280 and 10 minutes will cost you Rs. 400.","7, Palm Garden Rd, Akkarai, Panaiyur, Chennai, Tamil Nadu 600119",4,10,400,"3:00 PM - 9:00 PM
(Saturday&Sunday)11 am–9 pm",<1hr,,,
Marina Kart Arena,Points of Interest & Landmarks,1,Outdoor,"Located in the heart of the city at Marina beach, Kart Arena boasts a 400 meter track with a very professional team of track marshals. They provide options of 7 BHP karts for single and twin-seater whereas the baby karts of lesser power. Located so close to one of the most popular tourist destination in Chennai, Kart Arena sees a lot of crowd over holidays and weekends. 4 laps on this track costs you Rs. 180 whereas you have to pay Rs. 370 for 12 laps of pure adrenaline and fun. You also get the option of hiring the whole tracks for corporate or private events. Call them and book your slot as it usually gets a lot of crowd. Marina Kart Arena is one of the best go karting places in Chennai and India.","amaraj Salai, Fort St George, Chennai - 600009 (Opposite War Memorial & Near Napier Bridge)",4.3,10,270,"
11:00 am - 10:00 pm",1hr,,,
Jeeva Park&Garden,Park&Garden,1,Outdoor,"Urban green space featuring a playground, benches & walking trails, plus a badminton court & temple.","3/2, Arul Ammal Street, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017",4.5,15,0,"5:00 AM - 9:30 AM, 4:00 PM - 9:00 PM",1-2hrs,,,
Chembarambakkam Lake,Bodies of Water,1,Outdoor,"Chembarambakkam lake is a lake located in Chennai, Tamil Nadu, India, about 25 km from Chennai. It is one of the two rain-fed reservoirs from where water is drawn for supply to Chennai City, the other one being the Puzhal Lake. The Adyar River originates from this lake.","Kancheepuram district, Tamil Nadu, South India",3.5,20,0,10am-10pm,1hr,,,
Dr.Arun's Photography And Vintage Camera Museum,Museum,2,Indoor,"The museum consists of the personal collection of Dr.A.V.Arun, And contains more than 1500 antique and vintage cameras, which include Box Cameras from 1900 onwards, large box cameras from 1870 onwards , an 8 feet long and 5 feet tall wooden extra large format camera, SLRs TLRs, world war II and vintage spy cameras. It also has numerous photographic equipment and books righ from 1930s.","No: 3, East coast Road (ECR), , Kovalam, above Hotel Amirtha, Chennai, Tamil Nadu 603112",4.5,10,100,9 am–8 pm,1-2hrs,,,
Dr. Antiques & Old Coins,Antique Shops,2,Indoor,"A good shop for buying coins and antiques. Many old rare coins of British period, kingdoms are also available here","No. 3, Aiswarya Nagar, Ambattur, Chennai (Madras), India",4.5,15,0,10:30am - 8:00pm,1 hour,,,
Anna Memorial,Monuments & Statues,1,Outdoor,"Anna Memorial, officially Perarignar Anna Memorial, is a memorial dedicated to the former chief minister of Tamil Nadu C. N. Annadurai (Anna), where a black marble platform was raised on the spot of Anna's cremation in February 1969.","D6, Santhome High Rd, Navalar Nagar, Chepauk, Triplicane, Chennai, Tamil Nadu 600005",4,30,0,6;00am - 12:00am,1 hour,,,
Phoenix Market City,Shopping Mall,2,Indoor,"Phoenix Marketcity is a shopping mall developed by Phoenix Mills Limited located in Chennai, Tamil Nadu, India. It was opened in January 2013 and is the 2nd largest mall in the city. It was the fourth largest mall in India in 2018. It has a built up area of 1,000,000 square feet.","Velachery Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042",4.5,30,0,10:00am - 10:00pm,5 hours,,,
Valluvar Kottam Monument,Monuments & Statues,1,Outdoor,"Valluvar kottam is situated in the heart of Chennai (Madras) city in Nungambakkam. It is a monument constructed in memory of great tamil poet ""Thiruvalluvar"" who wrote two lines songs, which is called ""Thirukural"". Monument looks like temple-chariot built 40 years back. This place is tourist attraction.","363R+PMX, Valluvar Kottam High Rd, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",3.5,30,3,8:30 am to 5:30 pm,1 hour,,,
Tara Books Book Building,Points of Interest & Landmarks,2,Indoor,"Tara Books is a collective of writers, designers and bookmakers, publishing illustrated books for children and adults. While we generate many of our titles in-house, we also work with creative professionals across the world. Known for our richly visual content, we offer a curated list that includes children’s literature, photography, graphic novels, art and art education.","9, Kuppam Beach Rd, CGE Housing Colony, Thiruvanmiyur, Chennai, Tamil Nadu 600041",5,30,0,10:00 AM - 7:00 PM,1 hour,,,
Click Art Museum,Museum,2,Indoor,"CLICK ART MUSEUM is a place with big pictures of optical illusions that will fill one's head with Idyllic creations. It will make the participant's to find themselves transformed into another world, probably re-born as Mona Lisa's guest or Atlas's Friend , A world of trick art! Click Art Museum is conceptualized and created by Artist Ap. Shreethar","159, 5/108, SH 49, Akkarai, Injambakkam, Chennai, Tamil Nadu 600115",4,20,150,10:00 AM - 8:00 PM,1-2 hours,,,
Palladium Mall ,Shopping Mall,2,Indoor,High-end mall featuring domestic and international shops shops in a unique modern building.,"28, Velachery Road, Nagendra Nagar, Velachery, Chennai (Madras) 600042 India",4,30,0,11:00 am - 10:30 pm,1-2 hrs,,,
Grand Square Mall,Shopping Mall,2,Indoor,"Contemporary shopping mall offering global brands, a casual food court & a cinema.","137, Velachery - Tambaram Main Rd, V.O.C Nagar, Doctor Seetaram Nagar, Velachery, Chennai, Tamil Nadu 600042",3.5,30,0,9:00 am - 10:00 pm,2-3hrs,,,
M.Rm.Rm. Cultural Foundation,Art galleries ,2,Indoor,"The MRM Foundation is a nonprofit organization that documents and supports revival of rural crafts, textiles and architecture.","MRC Nagar Main Road, No. 70, MRC Nagar 1st Ln, MRC Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",4.5,20,300,10:00 am - 5:30 pm Sunday closed ,1 hr,,,
Bouncy house,Games and Entertainment,2,Indoor,"The first-of-its-kind Indoorplay center in Besant Nagar, close to Elliots Beach.","T26 Bouncy House 7th Ave Besant Nagar, Chennai (Madras) 600090 India",4.5,5,500,11:00 am - 9:00 pm,1-2 hrs,,,
Alsa Mall,Shopping Mall,2,Indoor,"Alsa Mall is a shopping mall on Montieth Road in the neighbourhood of Egmore in Chennai, India. Established in the mid-1980s, along with the Spencer Plaza, it is one of the oldest surviving malls in the city.","Egmore, Red Cross Rd, Chennai, Tamil Nadu 600008",3.5,20,0,10:00 am - 10:00 pm,1 hr,,,
Dr MGR Memorial House,Museum,2,Indoor,This house in Chennai was the official residence of Late Dr.MGR and was used by him for more than two decades.,"MGR ILLAM, 18, Arcot St, T. Nagar, Chennai, Tamil Nadu 600017",4,20,0,10:00 am - 5:00 pm,1-2 hrs,,,
Gramathil Oru Naal ,Amusement & Theme Park,1,Outdoor,A best place to spend a day in a village atmosphere with your friends and family,"Irumbuli Road Irumbuli Village, Chennai (Madras) 603301 India",4.5,10,600,9:00 am - 5:00 pm,>3hrs,,,
Art Houz,Art galleries ,2,Indoor,Art Houz is one of the leading contemporary art galleries from South-India.,"#123 Sterling Road Nungambakkam, Chennai (Madras) 600034 India",4.5,10,15,11:00 am - 7:00 pm,3hrs,,,
Oasis Gaming,Entertainment,2,Indoor,"Inspired from Ready Player One, Oasis Gaming brings you new and unique experience in console gaming at cheapest rate in India.","Old Mahabalipuram Rd 1/70, 1st Floor, Seevaram, Perungudi, Chennai (Madras) 600096 India",5,10,50,10:00 am - 10:00 pm,>3hrs,,,
Blazze Soapy football,Games and Entertainment,2,Indoor,Soap Football is an exciting sport designed for people of all ages even with zero experience about Football.,"no.2, 2nd floor, Thiruvalluvar Salai, Chennai (Madras) 600119 India",5,10,1800,10:00 am - 12:am,1hr,,,
Monkey Monk B2B Chillthirll Zone ,Games and Entertainment ,1,Outdoor,"Monkey Monk Chennai's first B2B Chillthrill Zone in Chennai Adventure, Leisure Sports, Camping and partying destination in Chennai.","No 109 ECR Road Pattipulam Village, Chengalpattu Kancheepuram, Chennai (Madras) 603104 India",5,8,550,7:00 am - 10:00 pm,>3hrs,,,
Palazzo,theatres,2,Indoor,"Set in Vadapalani, at the heart of Chennai's film fraternity, Palazzo is our take on the term ""Movie Palace"". Fresco-adorned walls, Italian marbles, a royal sceptre - just a few of the things that will greet you as you enter Palazzo.","Arcot Road 3rd Floor, The Forum Vijaya, #183, NSK Salai, Vadapalani,, Chennai (Madras) 600026 India",4.5,99,230,10:00 am - 10:00 pm,>3hrs,,,
Laser Tag Chennai,Games and Entertainment,2,Indoor,Laser tag is an fast paced game in an high tech environment. It's an combination of our hi-tech technology with your skills to create a heart-pounding experience.,"No 15, Kakani Tower, Khader Nawaz Khan Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",4,6,250,10 am–10 pm,<1hr,,,
Fit Rock Climbing Arena,Sports camps,2,Indoor,The gym will have a 32 feet high wall for top rope and lead climbing and 12 feet high wall for Bouldering.,"No. 7, Perumal Avenue, Ward 191, Sai Ganesh Nagar, Pallikaranai, Chennai, Tamil Nadu 600100",4,10,700,weekdays 6-10 am,2-3 hrs,,,
Welcome Shopping Mall,Shopping Mall,2,Indoor,Welcome Shopping Mall located in T nagar chennai. It have most of the popular showrooms and food court was also good,"Welcome Shopping Mall, CIT Nagar East, CIT Nagar, Chennai, Tamil Nadu 600017",4,4,0,11:00 am - 10:00 pm,2-3 hrs,,,
Kalakshetra Dance School,Theatre and Performances,2,Indoor,"This institution was established to resurrect the traditional dance forms of the country from adulteration by modern techniques, Kalakshetra has been around since 1936.","Kalakshetra Foundation, Kalakshetra Rd, Thiruvanmiyur, Chennai, Tamil Nadu 600041",4.5,42,100,8:30am - 5:00 pm,1-2 hrs,,,
Old Curiosity Shop,Antique Shops,2,Indoor,"A quaint 80-year old curiosity shop still retains its old-world charm in the ever-changing city of Chennai, and it holds many treasures to browse and uncover.","209, Anna Salai, Express Estate, Thousand Lights, Chennai, Tamil Nadu 600002",3.5,3,0,11:00 am - 8:30 pm,1-2 hrs,,,
Asgaed Entertainment,Games and Entertainment,2,Indoor,"Asgard Entertainment has largest laser tag Arena with over 2,000 sq.ft creating a live action, high tech adventure.","26, Ist Floor, Gopalakrishna St, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",4.5,5,250,10:00 am - 10:00pm,1-2 hrs,,,
Kidoos Fun Park,Games and Entertainment,2,Indoor,"Kidoos fun park is nice entertaining place for kids and adults. They have kids bowling, car race, bike race, air hockey, Outdoor bike ride, Outdoor car ride and train ride.","OMR Food Street Near AGS Theater, Chennai (Madras) 600130 India",4.5,4,200,10:00 am - 10:00 pm,2 hrs,,,
AKDR Golf Village,Games and Entertainment,1,Outdoor,The Golf Academy at AKDR Golf Village is the most ideal place to learn Golf.,"3/381 Rajiv Gandhi Salai Omr Mettukuppam, Chennai (Madras) 600097 India",3.5,6,1500,"weekdays 6:00 am - 6:30pm, saturday sunday 6:00 am - 9:00pm",2-3 hrs,,,
Anokhi,Speciality and Gift shops,2,Indoor,"Anokhi Chennai is a very popular shop for cool cotton dresses. Kurtis, tops, dupattas and jackets are available in this store. ","106 Chamiers Road, Chennai (Madras) 600028 India",4,82,0,10:30am - 7:30pm,1-2 hrs,,,
Freeing India,Entertainment,2,Indoor,"Freeing India Escape Rooms with 2 locations in Chennai features unique, out of the world themes designed to provide mind-bending entertainment.","Nungambakkam High Road Ispahani Center, Chennai (Madras) 600034 India",4.5,18,375,10:00 am - 10:00pm,1-2 hrs,,,
Tamil Nadu Police Museum,Museum,2,Indoor,"The Police Museum in Chennai, stands as a testimony to the valour of the uniformed personnel.","483 Pantheon Road, Chennai (Madras) 600008 India",4,0,10,10:00am - 7:00pm,1 hr,,,
Ekagrata,Speciality and Gift shops,2,Indoor,"Ekagrata is an outlet for ecofriendly products including hand block printed with vegetable dye sarees, stoles, duppattas, stationeries items, fabric accessories, upcycled products and cloth bags.","6/14 Anandapuram 1st Floor Dr Ranga Rd, Chennai (Madras) 600004 India",5,15,0,11:00am - 8:00pm,1-2 hrs,,,
PVR theatres Ampa Mall,theatres,2,Indoor,"Ampa Skywalk is a shopping mall in Chennai, India. With three floors of retail space, it has outlets for major clothing and apparel brands, a seven-screen multiplex, a games zone and a food court.","Nelson Manickam Road Ampa Mall, Chennai (Madras) 600029 India",3.5,57,230,10:00am - 10:00pm,>3 hrs,,,
Ethnic Experiences,Speciality and Gift shops,2,Indoor,"Experience being South Indian for a day. Choose from a variety of saree drape styles, specialised hair, makeup and finally a snapshot of you.","Kottur Garden 1st Main Road Kotturpuram, Chennai (Madras) 600085 India",5,9,1000,10:00am - 7:00pm,2-3 hrs,,, 
Cane and Bamboo,Speciality and Gift shops,2,Indoor,ane & Bamboo is a store that stocks some of India's finest Handicrafts.,"No 45 Ethiraj Road Egmore, Chennai (Madras) 600008 India",4.5,12,0,10:00am - 6:00pm,1-2 hrs,,,
Prestige Resorts,Equipment hire,1,Outdoor,This is the paradise for the nature lovers and Prestige Resorts is part of Prestige Group of companies is one of the best resorts for those who have loved to be in the lap of nature.,"3/1216, Thanjavur Rd, T. Nagar, Chennai, Tamil Nadu 600017",4,4,2500,10:00am - 7:00pm,>3 hrs,,,
Breakthru- The Real Escape Room,Games and Entertainment,2,Indoor,Breakthru is a real-life adventure escape game that offers an interactive experience.,"11/6, College Road Thousand Lights West, Chennai (Madras) 600034 India",4,4,800,11:00am - !0:00pm,1-2 hrs,,,
Backyard ,Mini workshops,2,Indoor,"A quaint anti-cafe in Gandhi Nagar, the place offers everything that one needs to think, ideate, work, unwind or collaborate.","53/23, 3rd Main Road, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020",5,4,500,10:00am - 6:00pm,1-2 hrs,,,
Maha Bodhi Society of Srilanka,Points of Interest & Landmarks,1,Outdoor,"The Maha Bodhi Society of Sri Lanka is a non-profit organization founded in 1891 by Anagarika Dharmapala, a Sri Lankan Buddhist leader and revivalist.",,4,5,0,9:00 AM- 5:00 PM,1 hr,,,
St. Lukes Church,churches&cathedrals,2,Indoor,This church is so beautiful and is located at a prime station in Anna nagar and it has AC and the place is so spacious.,Anna Nagar,5,5,0,6:15 AM - 6:45 PM,2 hrs,,,
Arulmigu Kurungkaleeswarar - Vaikundavasap Perumal Temple,Religious sites,2,Indoor,Vaikundavasap Perumal Temple is a Hindu temple dedicated to the deities Shiva,"Koyambedu, Chennai, India",4,10,0,6:00 AM -12:00 PM and  4:00 PM to 8:00 PM,1 hr,,,
Luxe theatres,theatres,1,Indoor,"Luxe by SPI theatres is a cinema destination that breaks all conventions to deliver a bold, contemporary and chic cinema experience. ",Velachery,5,10,200,11:00 AM -11:00 PM,3 hrs,,,
Sivan Park,Park&Garden,1,Outdoor,"Sivan Park is a leafy, family-friendly urban park with a kid's playground, several animal statues, and a skating area.",K. K. Nagar,5,10,0,5:00 AM-10:00 AM and 4:00 PM to 9:00 PM,2 hrs,,,
Varadharaja Theatre,theatres,1,Indoor,This is one of the best theatres in the location,Chitlapakkam Chromepet,4,5,200,7:00 AM -1:00 PM,3 hrs,,,
Gameistry,Games and Entertainment,2,Indoor,Gameistry Entertainment is Chennai’s 1st and largest Board Gaming venture. With an international ambience and world class tabletop games;,Nungambakkam,5,2,500,11:00 AM - 10:00 PM,2 hrs,,,
Chennai Gurudwara Sahib,Religious sites,2,Indoor,Very good feelings. Divinity inside this gurudwara.,Teynampet,5,2,0,9:00 AM- 5:00 PM,2 hrs,,,
